00:06:46.524{'id': 10, 'coordinate': [358.7235844990003, 142.29772593757116]}
00:06:46.525{'coordinate': [325.8615930910551, 278.64853862112386], 'id': 7}
00:06:46.525{'coordinate': [367.61367899274785, 205.71929390019068], 'id': 9}
00:06:46.528{'id': 8, 'coordinate': [360.56288371721087, 282.2933840594746]}
00:06:46.745{'id': 4, 'coordinate': [333.81531737848707, 647.9304194827321]}
00:06:46.747{'coordinate': [335.64992388729837, 276.6019365046109], 'id': 7}
00:06:46.747{'id': 8, 'coordinate': [370.5179738333737, 283.2400523113332]}
00:06:46.748{'coordinate': [357.7781456376803, 384.5019167555045], 'id': 5}
00:06:46.748{'coordinate': [364.6572183979536, 75.03723239575143], 'id': 1}
00:06:46.748{'coordinate': [377.6016064612712, 206.21052183457164], 'id': 9}
00:06:46.752{'id': 10, 'coordinate': [368.7149465145941, 142.71327987312026]}
00:06:46.761{'coordinate': [294.01496650429294, 606.5132178288184], 'id': 2}
00:06:46.954{'coordinate': [302.70513776306166, 601.56539775395], 'id': 2}
00:06:46.954{'coordinate': [345.43825468354163, 274.55533438809795], 'id': 7}
00:06:46.954{'coordinate': [367.4683924751858, 382.03227786930773], 'id': 5}
00:06:46.954{'coordinate': [387.5895339297946, 206.7017497689526], 'id': 9}
00:06:46.954{'id': 8, 'coordinate': [380.4730639495365, 284.1867205631918]}
00:06:46.955{'coordinate': [374.64683107667946, 75.4929061047136], 'id': 1}
00:06:46.955{'id': 10, 'coordinate': [378.70630853018787, 143.12883380866936]}
00:06:46.955{'id': 4, 'coordinate': [343.3225014562389, 651.030976031441]}
00:06:47.258{'coordinate': [384.6364437554053, 75.94857981367576], 'id': 1}
00:06:47.259{'id': 4, 'coordinate': [352.82968553399076, 654.1315325801501]}
00:06:47.262{'coordinate': [397.57746139831795, 207.19297770333355], 'id': 9}
00:06:47.263{'coordinate': [355.2265854797849, 272.508732271585], 'id': 7}
00:06:47.264{'coordinate': [377.15863931269126, 379.5626389831109], 'id': 5}
00:06:47.267{'id': 10, 'coordinate': [388.69767054578165, 143.54438774421845]}
00:06:47.273{'coordinate': [311.39530902183037, 596.6175776790817], 'id': 2}
00:06:47.476{'coordinate': [407.5653888668413, 207.6842056377145], 'id': 9}
00:06:47.479{'coordinate': [320.0854802805991, 591.6697576042134], 'id': 2}
00:06:47.479{'coordinate': [386.84888615019673, 377.0930000969141], 'id': 5}
00:06:47.480{'coordinate': [394.62605643413116, 76.40425352263793], 'id': 1}
00:06:47.480{'id': 10, 'coordinate': [398.6890325613754, 143.95994167976755]}
00:06:47.480{'id': 4, 'coordinate': [362.3368696117426, 657.232089128859]}
00:06:47.659{'coordinate': [363.86840774176324, 277.54052201206264], 'id': 7}
00:06:47.861{'id': 4, 'coordinate': [371.84405368949444, 660.332645677568]}
00:06:47.862{'coordinate': [328.7756515393678, 586.721937529345], 'id': 2}
00:06:47.862{'coordinate': [404.615669112857, 76.8599272316001], 'id': 1}
00:06:47.863{'coordinate': [396.5391329877022, 374.6233612107173], 'id': 5}
00:06:47.863{'coordinate': [417.5533163353647, 208.17543357209547], 'id': 9}
00:06:47.866{'id': 10, 'coordinate': [408.6803945769692, 144.37549561531665]}
00:06:48.033{'coordinate': [373.6358053246594, 275.39624020744014], 'id': 7}
00:06:48.222{'coordinate': [337.4658227981365, 581.7741174544767], 'id': 2}
00:06:48.222{'coordinate': [414.60528179158285, 77.31560094056226], 'id': 1}
00:06:48.223{'id': 4, 'coordinate': [381.3512377672463, 663.4332022262771]}
00:06:48.226{'coordinate': [406.2293798252077, 372.1537223245205], 'id': 5}
00:06:48.226{'id': 10, 'coordinate': [418.67175659256293, 144.79104955086575]}
00:06:48.230{'coordinate': [427.54124380388805, 208.66666150647643], 'id': 9}
00:06:48.397{'coordinate': [383.4032029075555, 273.25195840281765], 'id': 7}
00:06:48.595{'coordinate': [415.91962666271314, 369.6840834383237], 'id': 5}
00:06:48.596{'coordinate': [424.5948944703087, 77.77127464952443], 'id': 1}
00:06:48.596{'coordinate': [437.5291712724114, 209.1578894408574], 'id': 9}
00:06:48.598{'id': 10, 'coordinate': [428.6631186081567, 145.20660348641485]}
00:06:48.601{'coordinate': [346.15599405690523, 576.8262973796084], 'id': 2}
00:06:48.762{'coordinate': [393.17060049045165, 271.10767659819516], 'id': 7}
00:06:48.978{'coordinate': [425.6098735002186, 367.21444455212685], 'id': 5}
00:06:48.978{'coordinate': [434.58450714903455, 78.2269483584866], 'id': 1}
00:06:48.981{'coordinate': [447.5170987409348, 209.64911737523835], 'id': 9}
00:06:48.981{'id': 10, 'coordinate': [438.6544806237505, 145.62215742196395]}
00:06:48.984{'coordinate': [354.84616531567394, 571.87847730474], 'id': 2}
00:06:49.140{'coordinate': [402.9379980733478, 268.96339479357266], 'id': 7}
00:06:49.336{'coordinate': [435.3001203377241, 364.74480566593], 'id': 5}
00:06:49.336{'coordinate': [457.50502620945815, 210.1403453096193], 'id': 9}
00:06:49.339{'id': 10, 'coordinate': [448.64584263934427, 146.03771135751305]}
00:06:49.341{'coordinate': [363.53633657444266, 566.9306572298717], 'id': 2}
00:06:49.341{'coordinate': [444.5741198277604, 78.68262206744876], 'id': 1}
00:06:49.508{'coordinate': [412.7053956562439, 266.81911298895017], 'id': 7}
00:06:49.710{'coordinate': [372.2265078332114, 561.9828371550034], 'id': 2}
00:06:49.719{'coordinate': [422.47279323914006, 264.6748311843277], 'id': 7}
